bit_length=3 prime=5 G=(0, 1) n=7 Q=(3, 3)
Creating Quantum Circuit
set [(0, 1), (1, 3), (3, 2)]
add 3/6 [(3, 3), (0, 4), (1, 2)] 
Complete aG+bQ
Complete Quantum Circuit 0.129[s]
  qubit_size=47 gate_count=3377 depth=3078
Start Transpile ibm_fez 0
End Transpile 37.000[s] size=1012397 depth=545758, ops=OrderedDict({'sx': 536619, 'cz': 253993, 'rz': 220752, 'x': 1021, 'measure': 12, 'barrier': 2})
*OK: <001 100 010 001>=2, (2, 1)=False d=3
-NG: <010 001 001 011>=1, (1, 3)=True
*OK: <011 011 000 001>=1, (0, 1)=True d=3
-NG: <001 111 000 101>=1, (0, 5)=False
-NG: <000 101 000 010>=1, (0, 2)=False
-NG: <010 000 010 001>=1, (2, 1)=False
*OK: <111 100 010 001>=1, (2, 1)=False d=3
-NG: <001 110 101 001>=1, (5, 1)=True
-NG: <000 100 100 010>=1, (4, 2)=False
-NG: <001 001 100 011>=1, (4, 3)=False
-NG: <100 000 100 000>=1, (4, 0)=False
-NG: <101 011 000 001>=1, (0, 1)=True
-NG: <001 001 101 001>=1, (5, 1)=True
-NG: <100 000 110 011>=1, (6, 3)=True
-NG: <000 000 100 101>=1, (4, 5)=False
*OK: <100 010 100 001>=1, (4, 1)=False d=3
-NG: <000 111 000 010>=1, (0, 2)=False
-NG: <100 000 000 011>=1, (0, 3)=False
*OK: <101 101 000 000>=1, (0, 0)=True d=3
*OK: <110 001 111 110>=1, (7, 6)=False d=3
-NG: <010 000 000 000>=1, (0, 0)=True
-NG: <010 010 010 011>=1, (2, 3)=False
-NG: <110 011 101 110>=1, (5, 6)=True
-NG: <000 010 000 000>=1, (0, 0)=True
-NG: <100 001 111 000>=1, (7, 0)=False
*OK: <010 111 000 100>=1, (0, 4)=True d=3
-NG: <111 110 000 001>=1, (0, 1)=True
*OK: <101 101 001 111>=1, (1, 7)=True d=3
-NG: <011 100 010 110>=1, (2, 6)=False
-NG: <000 001 101 010>=1, (5, 2)=False
-NG: <110 000 000 011>=1, (0, 3)=False
-NG: <000 000 001 110>=1, (1, 6)=False
*OK: <100 110 000 111>=1, (0, 7)=False d=3
-NG: <000 001 110 011>=1, (6, 3)=True
*OK: <011 011 110 111>=1, (6, 7)=True d=3
-NG: <000 110 000 010>=1, (0, 2)=False
-NG: <010 001 100 001>=1, (4, 1)=False
*OK: <001 011 110 100>=1, (6, 4)=False d=3
-NG: <101 000 000 100>=1, (0, 4)=True
*OK: <110 101 100 000>=1, (4, 0)=False d=3
-NG: <110 011 001 101>=1, (1, 5)=False
*OK: <100 010 000 110>=1, (0, 6)=True d=3
-NG: <001 001 110 100>=1, (6, 4)=False
*OK: <101 001 001 111>=1, (1, 7)=True d=3
-NG: <100 100 011 010>=1, (3, 2)=True
*OK: <100 101 001 100>=1, (1, 4)=False d=3
-NG: <001 110 000 001>=1, (0, 1)=True
*OK: <010 011 010 001>=1, (2, 1)=False d=3
-NG: <100 111 000 100>=1, (0, 4)=True
-NG: <001 110 000 000>=1, (0, 0)=True
-NG: <110 110 000 111>=1, (0, 7)=False
*OK: <010 011 111 100>=1, (7, 4)=False d=3
-NG: <111 011 000 001>=1, (0, 1)=True
-NG: <000 010 010 001>=1, (2, 1)=False
-NG: <111 110 110 101>=1, (6, 5)=False
-NG: <001 111 000 001>=1, (0, 1)=True
-NG: <100 001 101 111>=1, (5, 7)=False
-NG: <100 000 010 000>=1, (2, 0)=False
-NG: <001 101 000 001>=1, (0, 1)=True
*OK: <001 100 110 001>=1, (6, 1)=False d=3
*OK: <101 010 000 011>=1, (0, 3)=False d=3
*OK: <010 110 000 101>=1, (0, 5)=False d=3
*OK: <101 110 000 100>=1, (0, 4)=True d=3
-NG: <000 010 001 101>=1, (1, 5)=False
-NG: <000 110 000 100>=1, (0, 4)=True
-NG: <111 000 000 011>=1, (0, 3)=False
-NG: <000 101 010 101>=1, (2, 5)=False
-NG: <101 000 010 001>=1, (2, 1)=False
-NG: <000 100 000 011>=1, (0, 3)=False
-NG: <000 110 100 100>=1, (4, 4)=False
*OK: <101 101 001 100>=1, (1, 4)=False d=3
-NG: <000 110 000 101>=1, (0, 5)=False
*OK: <010 100 000 001>=1, (0, 1)=True d=3
-NG: <100 100 110 100>=1, (6, 4)=False
-NG: <110 110 010 000>=1, (2, 0)=False
-NG: <000 000 001 010>=1, (1, 2)=True
-NG: <111 111 110 001>=1, (6, 1)=False
-NG: <100 111 010 111>=1, (2, 7)=False
*OK: <100 101 100 000>=1, (4, 0)=False d=3
-NG: <110 110 010 010>=1, (2, 2)=False
-NG: <010 000 000 001>=1, (0, 1)=True
*OK: <100 011 100 010>=1, (4, 2)=False d=3
-NG: <101 111 010 000>=1, (2, 0)=False
-NG: <000 100 100 101>=1, (4, 5)=False
-NG: <000 101 100 101>=1, (4, 5)=False
-NG: <001 101 000 101>=1, (0, 5)=False
*OK: <100 101 000 101>=1, (0, 5)=False d=3
*OK: <101 110 010 000>=1, (2, 0)=False d=3
-NG: <000 010 100 001>=1, (4, 1)=False
-NG: <100 111 110 110>=1, (6, 6)=False
*OK: <100 010 100 100>=1, (4, 4)=False d=3
*OK: <101 010 000 100>=1, (0, 4)=True d=3
-NG: <000 001 001 101>=1, (1, 5)=False
*OK: <100 110 011 101>=1, (3, 5)=False d=3
*OK: <101 010 000 001>=1, (0, 1)=True d=3
*OK: <110 001 010 111>=1, (2, 7)=False d=3
-NG: <100 000 010 010>=1, (2, 2)=False
-NG: <000 110 010 001>=1, (2, 1)=False
-NG: <000 101 100 011>=1, (4, 3)=False
Success: d=3 count=33
