bit_length=5 prime=23 G=(7, 4) n=11 Q=(9, 6)
Creating Quantum Circuit
set [(7, 4), (12, 7), (8, 5)]
add 3/8 [(20, 21), (9, 6), (7, 4)] 
add 6/8 [(12, 7), (8, 5)] 
Complete aG+bQ
Complete Quantum Circuit 1.617[s]
  qubit_size=93 gate_count=47986 depth=46860
Start Transpile ibm_fez 0
End Transpile 899.329[s] size=17462887 depth=9461983, ops=OrderedDict({'sx': 9318314, 'cz': 4412259, 'rz': 3720215, 'x': 12081, 'measure': 18, 'barrier': 2})
-NG: <0001 0110 00000 00010>=1, (0, 2)=False
-NG: <0000 1111 00000 01010>=1, (0, 10)=False
-NG: <0101 1111 00001 10011>=1, (1, 19)=False
*OK: <0101 1010 10101 10010>=1, (21, 18)=False d=6
*OK: <0110 0010 00000 10000>=1, (0, 16)=False d=6
*OK: <0010 1001 00001 00100>=1, (1, 4)=False d=6
-NG: <1100 1100 00101 10000>=1, (5, 16)=True
*OK: <0010 0001 10001 11001>=1, (17, 25)=False d=6
-NG: <1110 0101 10000 10000>=1, (16, 16)=False
-NG: <0101 0110 00111 00001>=1, (7, 1)=False
-NG: <0010 1110 00101 00000>=1, (5, 0)=False
-NG: <0010 0110 10000 00010>=1, (16, 2)=False
-NG: <0101 0110 00011 00000>=1, (3, 0)=False
-NG: <0010 0000 10000 10010>=1, (16, 18)=False
-NG: <0010 1101 00010 01110>=1, (2, 14)=False
-NG: <0010 0111 00001 00001>=1, (1, 1)=False
*OK: <0111 1011 00000 00010>=1, (0, 2)=False d=6
-NG: <0000 0111 10110 00000>=1, (22, 0)=False
-NG: <0011 0101 00000 11000>=1, (0, 24)=False
*OK: <0010 0010 00000 11110>=1, (0, 30)=False d=6
-NG: <0011 0111 00000 00010>=1, (0, 2)=False
*OK: <0110 1011 00001 11010>=1, (1, 26)=False d=6
*OK: <0010 1010 10000 10100>=1, (16, 20)=False d=6
-NG: <0011 1101 00001 10100>=1, (1, 20)=False
*OK: <0010 1010 11000 01111>=1, (24, 15)=False d=6
-NG: <0000 0110 00010 10100>=1, (2, 20)=False
-NG: <0000 0010 00001 00100>=1, (1, 4)=False
-NG: <0000 0110 00011 00000>=1, (3, 0)=False
-NG: <0110 0111 10000 00000>=1, (16, 0)=False
-NG: <0100 0101 00100 10110>=1, (4, 22)=False
-NG: <0001 0111 11000 10100>=1, (24, 20)=False
-NG: <0110 1110 10000 10000>=1, (16, 16)=False
-NG: <0001 1110 10000 01000>=1, (16, 8)=False
-NG: <0010 1100 00001 00000>=1, (1, 0)=False
-NG: <0100 0111 00001 10000>=1, (1, 16)=False
-NG: <0000 0010 00110 10001>=1, (6, 17)=False
